courseNumber,courseTitle,daytime,faculty1,Units
MGT811,"Taxes, Business & Strategy",T  Th 10:10 AM-11:30 AM,"Zhang, Frank",2
MGT812,Financial Statement Analysis,T  Th 1:00 PM-2:20 PM,"Zhang, Frank",2
MGT816,Accounting for Entrepreneurs,M  W 10:10 AM-11:30 AM,"Barrios, John",2
MGT828,Creativity & Innovation,W 2:40 PM-5:40 PM,"Feinstein, Jonathan",2
MGT835,UX Design Fundamentals: Practice & Leadership,T 4:10 PM-7:10 PM,"Falconett, Melissa",2
MGT836,The Global Macroeconomy,T  Th 8:30 AM-9:50 AM,"Schott, Peter",2
MGT842,Financing Green Technologies,W 2:40 PM-5:40 PM,"Kauffman, Richard",2
MGT848,A History of Financial Market Fraud: A Forensic Approach,M 2:40 PM-5:40 PM,"Chanos, Jim",2
MGT853,AI Strategy & Marketing,T  Th 1:00 PM-2:20 PM,"Kumar, Vineet",2
MGT853,AI Strategy & Marketing,T  Th 2:40 PM-4:00 PM,"Kumar, Vineet",2
MGT855,How to Design and Run Business Experiments,T  Th 10:10 AM-11:30 AM,"Frederick, Shane",2
MGT855,How to Design and Run Business Experiments,T  Th 1:00 PM-2:20 PM,"Frederick, Shane",2
MGT856,Managing Marketing Programs,W 4:10 PM-7:10 PM,"Hafen, Thomas",2
